COUNTRY,CODE,GDP_per_capital
Afghanistan,AFG,2000
Albania,ALB,11900
Algeria,DZA,15000
American Samoa,ASM,13000
Andorra,AND,37200
Angola,AGO,7600
Anguilla,AIA,12200
Antigua and Barbuda,ATG,24100
Argentina,ARG,20200
Armenia,ARM,8400
Aruba,ABW,25300
Australia,AUS,48800
Austria,AUT,47900
Azerbaijan,AZE,17700
"Bahamas, The",BHM,"24,600"
Bahrain,BHR,50300
Bangladesh,BGD,3600
Barbados,BRB,17200
Belarus,BLR,17500
Belgium,BEL,44900
Belize,BLZ,8600
Benin,BEN,2000
Bermuda,BMU,85700
Bhutan,BTN,8200
Bolivia,BOL,6500
Bosnia and Herzegovina,BIH,11000
Botswana,BWA,16900
Brazil,BRA,15200
British Virgin Islands,VGB,42300
Brunei,BRN,79700
Bulgaria,BGR,20100
Burkina Faso,BFA,1800
Burundi,BDI,800
Cabo Verde,CPV,"6,700"
Cambodia,KHM,3500
Cameroon,CMR,3200
Canada,CAN,46200
Cayman Islands,CYM,43800
Central African Republic,CAF,700
Chad,TCD,2800
Chile,CHL,24000
China,CHN,15400
Colombia,COL,14200
Comoros,COM,1600
"Congo, Democratic Republic of the",COD,800
"Congo, Republic of the",COG,"6,800"
Cook Islands,COK,12300
Costa Rica,CRI,16100
Cote d'Ivoire,CIV,"3,400"
Croatia,HRV,22400
Cuba,CUB,11600
Curacao,CUW,"15,000"
Cyprus,CYP,34400
Czech Republic,CZE,33200
Denmark,DNK,46600
Djibouti,DJI,3300
Dominica,DMA,11400
Dominican Republic,DOM,15900
Ecuador,ECU,11000
Egypt,EGY,12100
El Salvador,SLV,8300
Equatorial Guinea,GNQ,38700
Eritrea,ERI,1200
Estonia,EST,29500
Ethiopia,ETH,1700
Falkland Islands (Islas Malvinas),FLK,"55,400"
Faroe Islands,FRO,36600
Fiji,FJI,9400
Finland,FIN,41800
France,FRA,42400
French Polynesia,PYF,26100
Gabon,GAB,19300
Georgia,GEO,10100
Germany,DEU,48200
Ghana,GHA,4300
Gibraltar,GIB,43000
Greece,GRC,26800
Greenland,GRL,37900
Grenada,GRD,14100
Guam,GUM,30500
Guatemala,GTM,7900
Guernsey,GGY,52300
Guinea-Bissau,GNB,1500
Guinea,GIN,1300
Guyana,GUY,7200
Haiti,HTI,1800
Honduras,HND,5000
Hong Kong,HKG,58100
Hungary,HUN,27200
Iceland,ISL,48100
India,IND,6200
Indonesia,IDN,11700
Iran,IRN,18100
Iraq,IRQ,16500
Ireland,IRL,69400
Isle of Man,IMN,83100
Israel,ISR,34800
Italy,ITA,36300
Jamaica,JAM,9000
Japan,JPN,38900
Jersey,JEY,57000
Jordan,JOR,11100
Kazakhstan,KAZ,25700
Kenya,KEN,3300
Kiribati,KIR,2200
"Korea, North",KOR,"1,800"
"Korea, South",PRK,"37,900"
Kosovo,KSV,10000
Kuwait,KWT,71300
Kyrgyzstan,KGZ,3400
Laos,LAO,5400
Latvia,LVA,25700
Lebanon,LBN,18500
Lesotho,LSO,3000
Liberia,LBR,900
Libya,LBY,14200
